date_astro,HI1_TIME,HI1,HI1_TODAY,LO1_TIME,LO1,LO1_TODAY,HI2_TIME,HI2,HI2_TODYA,LO2_TIME,LO2,LO2_TODAY,HI3_TIME,HI3,HI3_TODAY,LO3_TIME,LO3,LO3_TODAY
4-Jun,08:06AM,0.97,TOMORROW,12:59AM,0.36,TOMORROW,10:22PM,0.44,TOMORROW,03:45PM,0.04,TOMORROW,-,-,-,-,-,-
5-Jun,08:32AM,1.12,TOMORROW,12:30AM,0.42,TOMORROW,-,-,-,04:44PM,-0.13,TOMORROW,-,-,-,-,-,-
6-Jun,09:03AM,1.25,TOMORROW,05:33PM,-0.24,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
7-Jun,09:36AM,1.33,TOMORROW,06:29PM,-0.3,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
8-Jun,10:14AM,1.37,TOMORROW,07:18PM,0.31,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
9-Jun,10:54AM,1.37,TOMORROW,08:05PM,-0.28,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
10-Jun,11:36AM,1.32,TOMORROW,08:51PM,0.22,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
11-Jun,12:21PM,1.25,TOMORROW,09:35PM,-0.15,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
12-Jun,01:07PM,1.15,TOMORROW,10:15PM,-0.07,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
13-Jun,01:54PM,1.03,TOMORROW,10:50PM,0.02,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
14-Jun,02:45PM,0.89,TOMORROW,11:16PM,0.12,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
15-Jun,03:48PM,0.73,TOMORROW,11:32PM,0.22,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
16-Jun,07:19AM,0.69,TOMORROW,01:09PM,0.51,TOMORROW,05:15PM,0.58,TOMORROW,11:34PM,0.3,TOMORROW,-,-,-,-,-,-
17-Jun,07:12AM,0.79,TOMORROW,02:45PM,0.35,TOMORROW,07:10PM,0.45,TOMORROW,11:23PM,0.36,TOMORROW,-,-,-,-,-,-
18-Jun,07:21AM,0.91,TOMORROW,03:39PM,0.19,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
19-Jun,07:39AM,1.03,TOMORROW,04:21PM,0.04,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
20-Jun,08:03AM,1.16,TOMORROW,04:57PM,-0.09,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
21-Jun,08:33AM,1.27,TOMORROW,05:35PM,-0.19,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
22-Jun,09:09AM,1.35,TOMORROW,06:15PM,-0.27,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
23-Jun,09:49AM,1.41,TOMORROW,06:57PM,-0.3,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
24-Jun,10:35AM,1.43,TOMORROW,07:41PM,0.3,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
25-Jun,11:25AM,1.42,TOMORROW,08:27PM,-0.25,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
26-Jun,12:20PM,1.35,TOMORROW,09:12PM,-0.18,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
27-Jun,01:18PM,1.23,TOMORROW,09:54PM,0.7,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
28-Jun,02:18PM,1.6,TOMORROW,-,-,-,10:30PM,0.6,TOMORROW,-,-,-,-,-,-,-,-,-
29-Jun,05:33AM,0.59,TOMORROW,08:55AM,0.53,TOMORROW,03:25PM,0.85,TOMORROW,10:54PM,0.2,TOMORROW,-,-,-,-,-,-
